name,id,bedrooms,beds,bathrooms,person_capacity,public_address,price,reviews_count,star_rating,distance(km),lat,long
Sweet Location! Lower Winter Prices,11098087,1,1,1.0,3,"Toronto, ON M4Y 1M2, Canada",54,54,4.5,0.7010916772201198,43.6674576,-79.3804327
Downtown Yonge One Bedroom,16193437,1,1,1.0,2,"Toronto, ON M4Y 3B3, Canada",67,0,,0.03730271610592263,43.6620547,-79.3844795
•Entire Downtown Studio Apartment•,16321844,1,1,1.0,2,"Toronto, ON M4Y, Canada",87,0,,0.46184793723996004,43.6658599,-79.3831599
Bright place with a fabulous view,11641012,1,2,1.0,4,"Toronto, ON M5S 0A5, Canada",122,79,5.0,0.676782676279488,43.6669799,-79.3885921
BEAUTIFUL APT(YONGE +BLOOR)+PARKING,3344016,1,1,1.0,2,"Toronto, ON M4Y 1N9, Canada",113,66,5.0,0.8334777030748952,43.6685942,-79.37990479999999
Convenient at Yonge and Wellesley,11872244,2,2,1.0,6,"Toronto, ON M4Y 1K4, Canada",165,62,4.5,0.4379638171685987,43.6657117,-79.3839517
Private Central Downtown flat,9352121,1,1,1.0,2,"Toronto, ON M4Y 1H5, Canada",88,15,4.5,0.6831615338999394,43.6664857,-79.37876109999999
2 Bedroom Highrise in the heart of Toronto,13280326,2,3,2.0,5,"Toronto, ON M5B 0A9, Canada",206,41,5.0,0.6659690217456553,43.6571618,-79.3789371
"2 Bdr on 25th floor, 4 person, beside U of Toronto",13473906,2,2,1.0,4,"Toronto, ON M5S 0A5, Canada",194,27,5.0,0.676782676279488,43.6669799,-79.3885921
"Exec Furnished 2 bed, 2 bath+den",13105559,2,2,2.0,4,"Toronto, ON M5G 1P7, Canada",164,1,,0.7603403680320258,43.6549375,-79.3844795
Super Wicked Place right Downtown.,16086483,1,1,1.0,2,"Toronto, ON M4Y 1L5, Canada",88,2,,0.6165206387485257,43.667293,-79.3834238
Central Perch Toronto,12980244,1,2,1.0,4,"Toronto, ON M4Y 2P8, Canada",103,13,4.5,0.24707823909084062,43.6622688,-79.3812245
Vibrant downtown place,2746751,1,1,1.0,4,"Toronto, ON M4Y 3B2, Canada",102,72,5.0,0.384761573768894,43.665234,-79.3839957
Unique one bedroom downtown core,13307634,1,1,1.0,2,"Toronto, ON M5G 2J9, Canada",92,19,4.0,0.2413573635857774,43.6596659,-79.3835118
2 Bed 2 Bath Bay & College,13603297,2,2,2.0,5,"Toronto, ON M5V 3Z6, Canada",154,22,4.5,2.5416570655461412,43.6404434,-79.3956073
Central and charming in downtown,6654427,1,1,1.0,2,"Toronto, ON M4Y 2C3, Canada",113,104,5.0,0.40218220361295126,43.663076,-79.3795529
(NEW) One Bedroom Condo at Bloor & Yonge,15178287,1,1,1.0,1,"Toronto, ON M4Y 1T1, Canada",103,2,,0.8174635257432544,43.6691213,-79.38474339999999
Downtown 1 BR apartment in house,6702085,1,1,1.0,2,"Toronto, ON M5B 1H5, Canada",88,9,5.0,0.5307911260328367,43.6606872,-79.3777934
Beautiful Downtown Apartment,3932792,3,3,1.0,6,"Toronto, ON M4Y 1X6, Canada",124,47,5.0,0.5204209607511195,43.66370190000001,-79.37832120000002
Downtown Condo at Yonge & Carlton,761537,1,1,1.0,2,"Toronto, ON M5B 1L3, Canada",175,45,5.0,0.1873319230096763,43.661231,-79.38201629999999
1 bedroom + den Gay VillageToronto,4135036,2,2,1.0,4,"Toronto, ON M4Y 2E5, Canada",103,25,4.5,0.5983365605847055,43.6668318,-79.38166439999999
Yorkville Condo: 1+1 Bed & 2 Bath,4418041,2,2,1.5,4,"Toronto, ON M4Y 3C3, Canada",133,61,5.0,0.859897733700401,43.66950019999999,-79.3848314
2+den bedrooms downtown Toronto University,2516271,2,4,2.0,7,"Toronto, ON M5S 1Z6, Canada",170,74,4.5,0.18986344904012786,43.6618246,-79.3865814
YOUNGE/GERRARD LUXURY CONDO,14416912,1,1,1.0,2,"Toronto, ON M5B 1S9, Canada",124,1,,0.3248515393604037,43.6593694,-79.3819283
